delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,state
1296072,878128,113415,112263,149280,71167,84279,15573,613569,93155,28821,8178,10098,10256,7749,544,659342,29506,5936,25847,35083,5359,8805,825,2504410,273195,11841,166881,25643,31215,38242,9019,901309,34280,39357,7864,8120,11800,5465,1192,1194940,261652,39874,64206,45644,25959,28908,5430,hard
111788,35060,37380,19307,6262,5548,6144,3578,125540,64829,40930,3942,4441,5193,1558,519,139444,39869,1416,1751,3490,1082,316,207,723112,37783,30090,12756,7803,9167,5224,2671,124318,102296,20364,21132,13978,5401,7051,1605,244840,55967,26036,11777,7194,5278,4058,1716,easy
1442693,363701,320609,35001,62765,32658,7614,8299,154901,56461,14217,3106,928,4489,616,3233,51605,12532,1986,3349,4722,2488,1476,1170,10518,4621,19925,4923,4606,7667,6659,4574,185444,92784,2711,6627,3773,3136,2970,1555,369032,106019,71889,10601,15358,10087,3867,3766,easy
34314,7452,3292,5862,2168,3339,858,1218,48910,2934,5265,1140,682,747,444,183,440828,303825,9216,20790,15440,7399,2491,2408,27097,22129,2662,3427,3347,2305,847,2136,608223,369877,239495,53791,35135,18138,4851,3799,231874,141243,51986,17002,11354,6385,1898,1948,easy
12264,3188,7948,6002,8064,6596,1271,817,400970,129789,26165,12668,10180,8070,3435,866,141896,80407,1004,4845,2152,1786,1935,2499,12019,53589,9155,5816,7692,6792,2859,10695,379625,209417,40522,42351,32319,24333,10767,10261,189354,95278,16958,14336,12081,9515,4053,5027,easy
93381,33219,4017,13779,7360,28805,4136,2254,1739624,85964,39367,5852,6504,5816,2752,1269,36708,46088,4123,2181,3201,2660,1749,550,1495939,172024,40593,5735,6164,3407,3356,2195,329956,19623,21548,9419,3202,4958,727,1637,739121,71383,21929,7393,5286,9129,2544,1581,hard
3829,3821,3208,653,1830,1610,1579,504,153316,110339,30147,8923,10594,2472,1049,926,656267,130300,5802,2163,2338,2793,1127,1021,209393,156568,3073,13784,5340,3026,1095,584,720867,33358,11064,28737,10370,15723,3108,5436,348734,86877,10658,10852,6094,5124,1591,1694,hard
19499,9542,13068,24706,16661,4109,1874,2049,453529,56061,5509,5054,5741,5172,293,923,1372917,274008,265912,23719,17184,13959,10270,2780,13194,9213,1955,2234,1424,2000,576,308,464709,121434,23981,10280,8937,11043,8320,2414,464769,94051,62085,13198,9989,7256,4266,1694,easy
100159,76099,15459,3224,1266,4667,1132,650,9251,11569,2428,313,1274,792,180,256,9227,2686,896,1212,1505,1365,723,456,93872,43169,12153,1490,1251,2294,940,1194,45542,48270,12736,5006,6028,8229,1260,1174,51610,36358,8734,2249,2264,3469,847,746,easy
360424,50450,19789,3413,7061,1306,812,529,117084,9234,1859,1673,3938,3340,198,310,390212,60028,5668,33183,22668,3262,3419,2026,208671,97823,66863,7762,9921,6603,5249,4936,15346,24476,7313,5882,5244,7306,1333,3046,218347,48402,20298,10382,9766,4363,2202,2169,easy
316083,32078,23029,6852,19633,10180,4377,1147,178930,41325,14558,9007,2415,2775,2455,818,10194,3743,415,2817,5301,1353,585,646,418391,101627,21479,37393,7841,5990,2903,4274,2393418,365198,59397,47029,17719,17227,4410,5326,663403,108794,23775,20619,10581,7505,2946,2442,easy
8168,23610,16434,14066,3741,4232,2614,2772,352355,63618,6182,2502,5552,2693,1969,969,52471,32076,605,2016,2852,2189,896,811,277886,136028,39298,8307,10209,18379,1600,2366,47173,44331,23071,7612,5220,5697,1910,477,147610,59932,17118,6900,5514,6638,1797,1479,easy
67519,120062,51806,18198,12383,15908,6918,3783,67742,109837,11871,2439,5208,3089,957,551,1794526,379384,93316,36073,11021,65996,6837,8873,74015,21557,6982,1531,3370,1110,1118,451,93973,63036,17826,3460,6648,6766,1483,1313,419555,138775,36360,12340,7726,18573,3462,2994,hard
336872,249190,55165,16216,13022,8641,9046,2048,1601370,276699,32024,18420,27510,10930,3248,1908,3926,9209,3578,3189,2163,1314,523,94,68446,2522,8100,3068,2218,888,1218,978,392888,205922,58100,120501,26942,8717,4043,2484,480700,148708,31393,32278,14371,6098,3615,1502,easy
180956,4037,9461,4480,2248,868,541,201,232197,42157,4339,4598,3399,1384,1119,542,125587,45622,457,5426,1947,3119,975,820,13625,3474,5418,2044,2937,1991,528,1101,132904,72069,10917,26974,16190,7628,4428,4727,137053,33471,6118,8704,5344,2998,1518,1478,hard
168428,87103,24965,10216,13165,8055,15096,3893,1148487,138612,4580,23206,5844,6639,5479,4648,104067,22516,21385,3553,8694,2229,1632,1207,22437,27032,10826,7391,2453,3445,1524,1000,22437,27032,10826,7391,2453,3445,1524,1000,293171,60459,14516,10351,6521,4762,5051,2349,easy
259644,66986,15078,5519,14051,5315,1672,1416,275903,46780,5006,10550,10488,7414,1843,1267,624858,15584,41820,4229,2331,2033,1069,1257,146843,7533,3367,2850,4513,5019,919,1091,89648,90270,1441,10721,2475,2395,1762,1518,279379,45430,13342,6773,6771,4435,1453,1309,hard
52717,31275,28475,14686,7787,7965,7539,4456,1485896,33247,464,6807,4064,4068,935,1033,973979,61996,6451,17348,4421,6721,1452,689,45478,151822,32001,20436,33347,7964,6926,3425,269386,29883,339,1074,4822,3064,586,411,565491,61644,13546,12070,10888,5956,3487,2002,easy
236034,74926,25600,37651,25987,11242,1805,1811,32013,8636,1696,405,1054,487,86,49,1014480,44044,31144,14619,5094,6346,2762,1129,442809,98673,18691,8123,6562,11461,7105,4563,301153,309437,65236,9045,26291,24353,6382,9461,405297,107143,28473,13968,12997,10777,3628,3402,hard
110534,7348,2199,901,2213,628,252,356,30080,91444,13007,18498,25382,12777,12562,5516,15282,26419,14064,3761,3168,2401,843,919,135020,4845,5221,1620,1315,1180,961,671,120948,41767,16976,6209,3932,7049,1240,687,82372,34364,10293,6197,7202,4807,3171,1629,easy
140296,48110,8464,16609,8374,2636,986,539,240044,39245,13118,2886,3245,875,527,215,73842,7310,2133,368,538,396,136,156,32122,69781,50181,20698,3864,5195,2276,998,1086162,67521,34528,8128,2453,5879,1726,1347,314493,46393,21684,9737,3694,2996,1130,651,easy
7992,27597,17734,42416,22232,13351,2959,2191,2339275,519602,47915,55272,48393,39030,6118,11505,435194,14887,8480,2780,1544,5325,1268,1021,1931,3285,4797,5073,15399,18568,5179,4958,272227,62552,6421,7541,12684,9039,8078,2692,611323,125584,17069,22616,20050,17062,4720,4473,hard
53484,42396,7072,2735,5425,2387,763,723,166322,8710,2677,11195,10499,3835,1828,824,98842,3826,3470,816,2026,996,435,288,55487,5584,7111,5757,3998,2831,1544,306,472948,25864,14179,14375,5366,11486,3296,7348,169416,17276,6901,6975,5462,4307,1573,1897,hard
105931,41620,17150,5124,1652,2161,2242,864,1951652,538473,32389,49284,18325,19944,9897,11460,113631,40829,6827,16342,10079,4844,4124,1917,2056652,234214,136066,26068,23263,15118,20810,4962,80865,25383,6680,1200,3617,937,594,239,861746,176103,39822,19603,11387,8600,7533,3888,hard
48136,31637,16839,2856,1815,518,167,180,43938,12412,6554,4283,1780,2379,713,1575,965558,79044,8255,1746,3308,9632,8670,3330,157606,18172,765,2779,3069,1479,549,230,149207,316780,46830,56646,26098,16935,11563,5058,272889,91609,15848,13662,7214,6188,4332,2074,easy
14564,20416,788,2633,5677,2290,1521,1631,2344466,101576,64859,25862,16301,7521,2433,1029,3857804,186545,117055,17277,26889,19144,14571,6833,53990,78145,6666,2152,3993,1728,149,136,33130,51627,4449,5554,4900,5388,1742,850,1260790,87661,38763,10695,11552,7214,4083,2095,easy
96601,11044,7545,738,5604,5114,1096,1038,45717,62539,2002,9282,5350,4823,1660,1090,105461,5862,3427,1649,2181,2830,1278,1183,72116,26971,4582,21528,14549,9271,9812,5197,336553,90883,53173,18261,12820,17997,5483,3573,131289,39459,14145,10291,8100,8007,3865,2416,hard
13897,7666,5435,2621,4181,6230,1640,2218,5014,4325,397,5359,5270,5967,1581,1345,354745,60336,15393,7092,16405,13316,25863,11948,110804,65801,8979,7235,2609,3061,2521,2673,1805755,67579,7034,30620,19804,18990,10645,6389,458043,41141,7447,10585,9653,9512,8450,4914,easy
105465,4694,5972,11737,1608,4284,926,1115,802744,212789,37452,15196,9572,16913,6563,4554,712815,662464,2448,9626,15252,8985,13584,2906,15691,17266,2561,4638,3617,3029,1003,663,58208,10378,1022,3083,3471,1899,1616,1438,338984,181518,9891,8856,6704,7022,4738,2135,easy
101007,6745,668,1819,1670,3585,1532,1113,263068,164618,14073,6253,3951,2017,919,1077,28946,39528,12162,3931,3654,2176,1049,739,272422,12811,3079,4849,1187,1900,663,1226,379525,73171,21135,18363,17499,12579,4282,5162,208993,59374,10223,7043,5592,4451,1689,1863,easy
